UNIT_CODE,UNIT_NAME,UNIT_TYPE,STATE,Abandoned Wells within 30 miles,active_wells_in_parks,at_risk
ANTI,Antietam National Battlefield,National Battlefield,MD,0,,
HSTR,Harry S Truman National Historic Site,National Historic Site,MO,2962,,
DINO,Dinosaur National Monument,National Monument,CO,41,,
CHIS,Channel Islands National Park,National Park,CA,1920,0,0
YUHO,Yucca House National Monument,National Monument,CO,30,,
DENA,Denali National Preserve,National Preserve,AK,0,,
DENA,Denali National Park,National Park,AK,0,0,0
GETT,Gettysburg National Military Park,National Military Park,PA,0,,
NATC,Natchez National Historical Park,National Historical Park,MS,110,,
CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,DC,22,,
ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial,VA,0,,
WICR,Wilson's Creek National Battlefield,National Battlefield,MO,4,,
GREE,Greenbelt Park,Other Designation,MD,0,,
PISC,Piscataway Park,Other Designation,MD,0,,
NOCO,North Country National Scenic Trail,National Scenic Trail,MI,5,,
MEVE,Mesa Verde National Park,National Park,CO,98,0,1
PRWI,Prince William Forest Park,Other Designation,VA,0,,
GWMP,George Washington Memorial Parkway,National Parkway,VA,0,,
ROMO,Rocky Mountain National Park,National Park,CO,2,0,0
CHAT,Chattahoochee River National Recreation Area,National Recreation Area,GA,0,,
FLFO,Florissant Fossil Beds National Monument,National Monument,CO,0,,
SAAN,San Antonio Missions National Historical Park,National Historical Park,TX,190,,
SARA,Saratoga National Historical Park,National Historical Park,NY,0,,
RICH,Richmond National Battlefield Park,National Battlefield Park,VA,0,,
SAGU,Saguaro National Park,National Park,AZ,0,0,0
BLRI,Blue Ridge Parkway,Parkway,NC,0,,
APPA,Appalachian National Scenic Trail,National Scenic Trail,ME,67,,
